,playerId,BattingOrder,PA
0,1744,4,26
1,2136,4,27
2,2233,4,1
3,2396,4,356
4,2434,4,37
5,2967,4,19
6,3473,4,85
7,4892,4,143
8,4940,4,10
9,4949,4,262
10,5038,4,20
11,5254,4,5
12,5297,4,22
13,5452,4,30
14,5486,4,1
15,5517,4,4
16,5760,4,15
17,5827,4,40
18,6153,4,10
19,6184,4,193
20,7304,4,227
21,7739,4,70
22,8090,4,5
23,8202,4,1
24,8623,4,34
25,8709,4,0
26,9368,4,20
27,9627,4,8
28,9777,4,478
29,9874,4,133
30,9929,4,3
31,10028,4,1
32,10243,4,59
33,10264,4,61
34,10324,4,18
35,10441,4,5
36,10472,4,1
37,10642,4,23
38,10762,4,17
39,10815,4,1
40,10950,4,59
41,11200,4,81
42,11265,4,6
43,11281,4,19
44,11339,4,0
45,11342,4,46
46,11368,4,5
47,11442,4,19
48,11445,4,57
49,11477,4,34
50,11493,4,328
51,11579,4,173
52,11609,4,97
53,11615,4,76
54,11680,4,234
55,11737,4,342
56,11739,4,34
57,11899,4,177
58,11902,4,1
59,12005,4,8
60,12037,4,6
61,12144,4,169
62,12161,4,229
63,12180,4,4
64,12282,4,2
65,12325,4,21
66,12399,4,1
67,12532,4,1
68,12546,4,182
69,12552,4,89
70,12564,4,8
71,12856,4,61
72,12859,4,4
73,12861,4,175
74,12916,4,90
75,12976,4,1
76,12979,4,91
77,13066,4,308
78,13145,4,150
79,13152,4,20
80,13301,4,392
81,13419,4,657
82,13499,4,5
83,13590,4,27
84,13602,4,1
85,13620,4,0
86,13621,4,83
87,13675,4,4
88,13757,4,38
89,13768,4,2
90,13770,4,3
91,13836,4,7
92,13853,4,2
93,14111,4,22
94,14128,4,3
95,14161,4,89
96,14162,4,87
97,14196,4,2
98,14221,4,53
99,14274,4,42
100,14344,4,372
101,14350,4,1
102,14366,4,272
103,14387,4,49
104,14477,4,1
105,14551,4,116
106,14566,4,8
107,14735,4,0
108,14773,4,3
109,14813,4,58
110,14854,4,12
111,14894,4,3
112,14968,4,5
113,15112,4,54
114,15117,4,0
115,15149,4,17
116,15161,4,57
117,15172,4,3
118,15194,4,17
119,15223,4,0
120,15271,4,5
121,15279,4,81
122,15362,4,13
123,15429,4,30
124,15464,4,119
125,15518,4,36
126,15585,4,13
127,15653,4,80
128,15672,4,7
129,15676,4,232
130,15679,4,161
131,15711,4,22
132,15730,4,6
133,15794,4,0
134,15878,4,23
135,15937,4,35
136,15983,4,0
137,15986,4,137
138,15998,4,360
139,16153,4,12
140,16219,4,181
141,16252,4,33
142,16337,4,9
143,16375,4,2
144,16376,4,162
145,16424,4,6
146,16442,4,229
147,16451,4,2
148,16478,4,3
149,16505,4,184
150,16512,4,1
151,16530,4,1
152,16535,4,10
153,16556,4,44
154,16572,4,87
155,16622,4,1
156,16623,4,2
157,16680,4,2
158,16686,4,4
159,16997,4,81
160,17022,4,4
161,17027,4,31
162,17040,4,1
163,17128,4,159
164,17161,4,1
165,17232,4,96
166,17321,4,2
167,17338,4,5
168,17350,4,296
169,17484,4,427
170,17548,4,72
171,17678,4,222
172,17696,4,2
173,17710,4,1
174,17766,4,13
175,17838,4,12
176,17893,4,4
177,17901,4,0
178,17907,4,59
179,17919,4,85
180,17929,4,6
181,17932,4,2
182,17954,4,0
183,17988,4,166
184,17992,4,4
185,18015,4,8
186,18030,4,21
187,18036,4,4
188,18042,4,2
189,18067,4,1
190,18123,4,4
191,18126,4,3
192,18171,4,214
193,18289,4,16
194,18314,4,14
195,18316,4,1
196,18345,4,190
197,18360,4,34
198,18373,4,151
199,18395,4,11
200,18400,4,6
201,18568,4,22
202,18577,4,8
203,18607,4,18
204,18795,4,4
205,18819,4,13
206,18821,4,5
207,18839,4,314
