,playerId,BattingOrder_vL,PA
0,1744,5,13
1,2136,5,7
2,2434,5,25
3,2967,5,33
4,4106,5,1
5,4314,5,13
6,4892,5,37
7,4940,5,7
8,4949,5,6
9,5038,5,27
10,5235,5,1
11,5254,5,3
12,5297,5,17
13,5452,5,8
14,5517,5,1
15,5760,5,16
16,5827,5,13
17,5933,5,14
18,6153,5,16
19,6184,5,32
20,7739,5,23
21,7802,5,3
22,8090,5,4
23,8623,5,6
24,9241,5,10
25,9256,5,20
26,9368,5,80
27,9627,5,26
28,9774,5,3
29,9874,5,19
30,9929,5,15
31,9952,5,11
32,10047,5,12
33,10243,5,38
34,10264,5,1
35,10324,5,47
36,10472,5,37
37,10642,5,29
38,10681,5,5
39,10762,5,5
40,10815,5,2
41,10950,5,55
42,11200,5,13
43,11265,5,7
44,11281,5,24
45,11342,5,11
46,11368,5,25
47,11442,5,11
48,11445,5,32
49,11477,5,3
50,11481,5,16
51,11489,5,3
52,11609,5,49
53,11615,5,21
54,11680,5,28
55,11737,5,1
56,11739,5,65
57,11899,5,1
58,11902,5,5
59,12005,5,5
60,12037,5,10
61,12140,5,0
62,12144,5,7
63,12147,5,1
64,12155,5,15
65,12161,5,70
66,12180,5,5
67,12282,5,1
68,12325,5,9
69,12434,5,6
70,12546,5,15
71,12552,5,45
72,12564,5,9
73,12775,5,1
74,12856,5,7
75,12859,5,10
76,12976,5,1
77,12979,5,14
78,12984,5,1
79,13066,5,24
80,13145,5,53
81,13152,5,16
82,13301,5,60
83,13324,5,17
84,13338,5,1
85,13499,5,4
86,13590,5,2
87,13602,5,26
88,13620,5,1
89,13621,5,3
90,13675,5,9
91,13757,5,25
92,13770,5,14
93,13836,5,22
94,13853,5,1
95,14111,5,24
96,14128,5,3
97,14130,5,11
98,14162,5,6
99,14196,5,1
100,14221,5,3
101,14274,5,20
102,14344,5,9
103,14350,5,1
104,14387,5,25
105,14566,5,12
106,14691,5,1
107,14712,5,7
108,14811,5,10
109,14813,5,25
110,14854,5,18
111,14894,5,3
112,15112,5,26
113,15149,5,23
114,15161,5,23
115,15194,5,3
116,15214,5,5
117,15223,5,2
118,15274,5,6
119,15279,5,11
120,15362,5,27
121,15464,5,48
122,15518,5,26
123,15585,5,6
124,15653,5,40
125,15654,5,1
126,15676,5,65
127,15679,5,13
128,15711,5,16
129,15878,5,6
130,15905,5,1
131,15937,5,29
132,15983,5,2
133,15986,5,17
134,15998,5,20
135,16153,5,6
136,16219,5,18
137,16252,5,3
138,16337,5,1
139,16357,5,3
140,16376,5,19
141,16424,5,7
142,16434,5,3
