,playerId,BattingOrder_vL,PA
0,2136,8,5
1,2434,8,7
2,2829,8,4
3,2967,8,9
4,3516,8,5
5,4940,8,2
6,5254,8,16
7,5273,8,2
8,5297,8,1
9,5343,8,20
10,5486,8,1
11,5517,8,48
12,5760,8,1
13,5827,8,3
14,5933,8,1
15,6153,8,43
16,7739,8,2
17,7802,8,54
18,8090,8,1
19,8202,8,8
20,8623,8,3
21,8709,8,28
22,9256,8,29
23,9368,8,3
24,9627,8,41
25,9774,8,29
26,9847,8,1
27,9952,8,25
28,10028,8,39
29,10030,8,11
30,10047,8,3
31,10243,8,2
32,10264,8,5
33,10323,8,17
34,10324,8,9
35,10441,8,2
36,10472,8,25
37,10642,8,1
38,10681,8,8
39,10762,8,1
40,11038,8,9
41,11265,8,12
42,11281,8,6
43,11339,8,1
44,11342,8,1
45,11368,8,1
46,11381,8,2
47,11442,8,14
48,11445,8,13
49,11477,8,1
50,11481,8,1
51,11489,8,31
52,11680,8,2
53,11737,8,6
54,11739,8,1
55,11902,8,3
56,12037,8,18
57,12140,8,6
58,12144,8,5
59,12147,8,49
60,12155,8,9
61,12158,8,2
62,12160,8,0
63,12180,8,1
64,12282,8,10
65,12325,8,30
66,12399,8,8
67,12434,8,38
68,12510,8,3
69,12532,8,6
70,12775,8,1
71,12856,8,1
72,12859,8,34
73,12976,8,4
74,12979,8,9
75,12981,8,3
76,12984,8,7
77,13185,8,63
78,13265,8,15
79,13324,8,16
80,13338,8,5
81,13355,8,7
82,13499,8,11
83,13602,8,37
84,13613,8,1
85,13620,8,19
86,13621,8,7
87,13675,8,15
88,13723,8,33
89,13755,8,3
90,13757,8,17
91,13768,8,7
92,13770,8,4
93,13836,8,10
94,13853,8,9
95,13897,8,4
96,14111,8,15
97,14128,8,16
98,14130,8,1
99,14196,8,1
100,14274,8,2
101,14350,8,5
102,14366,8,1
103,14477,8,15
104,14551,8,1
105,14566,8,1
106,14567,8,1
107,14691,8,12
108,14712,8,24
109,14735,8,8
110,14773,8,1
111,14854,8,4
112,14894,8,11
113,14950,8,3
114,14968,8,17
115,15104,8,0
116,15117,8,8
117,15149,8,8
118,15161,8,5
119,15194,8,3
120,15214,8,16
121,15223,8,15
122,15271,8,13
123,15274,8,5
124,15279,8,9
125,15464,8,1
126,15491,8,2
127,15518,8,3
128,15585,8,5
129,15653,8,2
130,15674,8,8
131,15730,8,1
132,15794,8,6
133,15878,8,0
134,15905,8,4
135,15937,8,10
136,15941,8,20
137,15983,8,19
138,16153,8,3
139,16252,8,3
140,16357,8,5
141,16375,8,2
142,16403,8,11
143,16424,8,20
144,16434,8,8
145,16442,8,1
146,16451,8,8
147,16505,8,1
148,16512,8,5
149,16530,8,22
150,16535,8,39
151,16572,8,5
152,16622,8,15
153,16686,8,2
154,16725,8,31
155,16930,8,9
156,16947,8,10
157,17022,8,46
158,17040,8,4
159,17161,8,43
160,17232,8,1
161,17273,8,26
162,17321,8,13
163,17326,8,1
164,17338,8,16
165,17452,8,11
166,17548,8,2
167,17620,8,52
168,17696,8,9
169,17710,8,1
170,17737,8,1
171,17766,8,12
172,17893,8,4
173,17907,8,2
174,17922,8,2
175,17929,8,7
176,17932,8,0
177,17954,8,5
178,17982,8,5
179,17988,8,20
180,17992,8,3
181,18015,8,30
182,18030,8,8
183,18032,8,22
184,18042,8,29
185,18054,8,24
186,18067,8,10
187,18123,8,1
188,18126,8,5
189,18171,8,3
190,18217,8,1
191,18289,8,4
192,18316,8,1
193,18363,8,31
194,18400,8,8
195,18564,8,43
196,18607,8,6
197,18795,8,16
198,18819,8,7
199,18821,8,16
200,18839,8,2
201,18872,8,2
202,18887,8,16
203,18889,8,5
204,18900,8,39
205,19181,8,3
206,19198,8,3
207,19212,8,1
208,19245,8,2
209,19252,8,8
210,19260,8,7
211,19262,8,18
212,19273,8,10
213,19293,8,6
214,19296,8,38
215,19318,8,15
216,19339,8,8
217,19352,8,9
218,19354,8,9
219,19358,8,2
220,19392,8,6
221,19452,8,28
222,19455,8,21
223,19458,8,6
224,19470,8,10
225,19514,8,19
226,19522,8,21
227,19562,8,29
228,19599,8,19
229,19600,8,6
230,19627,8,1
231,19683,8,1
232,19698,8,7
233,19717,8,5
234,19734,8,8
235,19768,8,2
236,19779,8,6
237,19788,8,14
238,19806,8,6
239,19818,8,6
240,19858,8,20
241,19859,8,3
242,19864,8,15
243,19873,8,7
244,19890,8,7
245,19896,8,44
246,19901,8,2
247,19918,8,9
248,19921,8,12
249,19928,8,44
250,19931,8,2
251,19948,8,13
252,19953,8,12
253,19956,8,7
254,19957,8,2
255,19958,8,4
256,19960,8,6
257,19964,8,4
258,19966,8,8
259,19997,8,41
260,20002,8,1
261,20017,8,4
262,20056,8,57
263,20126,8,16
264,20157,8,29
265,20178,8,2
266,20202,8,52
267,20242,8,22
268,20275,8,8
269,20308,8,42
270,20311,8,19
271,20321,8,13
272,20352,8,13
273,20391,8,23
274,20404,8,1
275,20505,8,39
276,20521,8,16
277,20529,8,1
278,20536,8,1
279,20543,8,18
280,20572,8,10
281,20599,8,1
282,20626,8,3
283,20805,8,3
284,20970,8,1
285,21127,8,2
286,21270,8,2
287,21454,8,14
288,21497,8,4
289,21501,8,12
290,21524,8,20
291,21538,8,47
292,21547,8,11
293,21558,8,3
294,21560,8,6
295,21562,8,8
296,21614,8,17
297,21622,8,10
298,21635,8,1
299,21636,8,21
300,21693,8,29
301,21707,8,12
302,21716,8,5
303,21746,8,7
304,21780,8,4
305,21837,8,4
306,21840,8,9
307,21853,8,18
308,21865,8,27
309,21897,8,4
310,21987,8,8
311,22054,8,3
312,22117,8,5
313,22168,8,1
314,22184,8,14
315,22186,8,38
316,22209,8,12
317,22217,8,4
318,22232,8,0
319,22244,8,10
320,22261,8,7
321,22263,8,1
322,22266,8,1
323,22274,8,13
324,22275,8,1
325,22277,8,17
326,22458,8,17
327,22514,8,15
328,22515,8,25
329,22532,8,13
330,22542,8,2
331,22558,8,4
332,22563,8,27
333,22581,8,14
334,22650,8,7
335,22664,8,56
336,22715,8,10
337,22799,8,6
338,22823,8,6
339,22871,8,10
340,22896,8,22
341,23003,8,18
342,23359,8,8
343,23378,8,34
344,23401,8,42
345,23565,8,1
346,23690,8,2
347,23691,8,2
348,23695,8,8
349,23698,8,3
350,23733,8,36
351,23788,8,4
352,23792,8,25
353,23800,8,1
354,23818,8,48
355,23985,8,5
356,23986,8,1
357,24064,8,1
358,24262,8,2
359,24273,8,15
360,24336,8,10
361,24451,8,2
362,24485,8,1
363,24589,8,9
364,24597,8,2
365,24617,8,11
366,24618,8,15
367,24655,8,15
368,24679,8,12
369,24703,8,8
370,24729,8,9
371,24770,8,46
372,24782,8,10
373,24934,8,3
374,25040,8,3
375,25055,8,11
376,25111,8,8
377,25332,8,3
378,25353,8,6
379,25459,8,2
380,25479,8,24
381,25482,8,10
382,25493,8,3
383,25505,8,16
384,25569,8,10
385,25616,8,3
386,25643,8,4
387,25660,8,23
388,25768,8,22
389,25805,8,11
390,25807,8,19
391,25813,8,3
392,25816,8,23
393,25845,8,17
394,25931,8,11
395,25961,8,3
396,26121,8,14
397,26123,8,46
398,26149,8,5
399,26208,8,2
400,26289,8,9
401,26294,8,12
402,26319,8,4
403,26323,8,2
404,26365,8,16
405,26368,8,3
406,26396,8,13
407,26438,8,1
408,26466,8,15
409,26467,8,8
410,26477,8,2
411,26517,8,10
412,26668,8,5
413,27467,8,6
414,27475,8,29
415,27478,8,13
416,27490,8,13
417,27506,8,4
418,27534,8,5
419,27577,8,45
420,27604,8,16
421,27615,8,2
422,27630,8,5
423,27647,8,21
424,27684,8,5
425,27690,8,24
426,27735,8,3
427,27790,8,1
428,27815,8,6
429,27845,8,3
430,29591,8,2
431,29617,8,4
432,29622,8,7
433,29976,8,2
434,30116,8,1
435,30162,8,40
436,31347,8,5
437,31490,8,2
