,playerId,BattingOrder,PA
0,1744,7,191
1,2136,7,44
2,2233,7,1
3,2434,7,26
4,2829,7,6
5,2967,7,53
6,3516,7,57
7,4106,7,19
8,4314,7,4
9,4892,7,21
10,4940,7,85
11,5038,7,24
12,5235,7,1
13,5254,7,108
14,5297,7,69
15,5343,7,92
16,5452,7,19
17,5517,7,4
18,5760,7,11
19,5827,7,8
20,5933,7,97
21,6153,7,52
22,6184,7,2
23,7739,7,63
24,7802,7,20
25,7859,7,1
26,8090,7,70
27,8202,7,42
28,8418,7,3
29,8623,7,29
30,8709,7,67
31,9241,7,4
32,9256,7,43
33,9368,7,13
34,9627,7,50
35,9774,7,73
36,9847,7,1
37,9874,7,13
38,9952,7,49
39,10028,7,51
40,10030,7,4
41,10047,7,31
42,10199,7,0
43,10200,7,3
44,10243,7,79
45,10264,7,29
46,10323,7,9
47,10324,7,105
48,10441,7,23
49,10472,7,132
50,10642,7,36
51,10681,7,113
52,10762,7,40
53,10815,7,23
54,10950,7,1
55,11038,7,22
56,11265,7,21
57,11281,7,98
58,11339,7,2
59,11342,7,5
60,11368,7,153
61,11442,7,121
62,11445,7,85
63,11481,7,24
64,11489,7,12
65,11615,7,29
66,11680,7,23
67,11737,7,35
68,11739,7,48
69,11899,7,7
70,11902,7,26
71,12005,7,9
72,12037,7,87
73,12140,7,4
74,12144,7,45
75,12147,7,97
76,12155,7,165
77,12158,7,1
78,12160,7,4
79,12282,7,25
80,12325,7,105
81,12371,7,13
82,12399,7,18
83,12434,7,57
84,12510,7,3
85,12532,7,21
86,12546,7,1
87,12552,7,14
88,12564,7,68
89,12775,7,23
90,12859,7,29
91,12976,7,1
92,12977,7,1
93,12979,7,59
94,12984,7,8
95,13066,7,61
96,13152,7,2
97,13185,7,62
98,13265,7,52
99,13324,7,108
100,13329,7,5
101,13338,7,40
102,13355,7,5
103,13359,7,5
104,13419,7,2
105,13499,7,60
106,13590,7,4
107,13602,7,46
108,13620,7,18
109,13621,7,120
110,13675,7,24
111,13723,7,3
112,13757,7,64
113,13768,7,68
114,13770,7,8
115,13788,7,4
116,13836,7,45
117,13853,7,95
118,14111,7,21
119,14128,7,103
120,14130,7,99
121,14161,7,1
122,14196,7,1
123,14274,7,12
124,14350,7,30
125,14387,7,17
126,14477,7,34
127,14566,7,13
128,14567,7,23
129,14691,7,77
130,14712,7,104
131,14735,7,4
132,14773,7,1
133,14811,7,10
134,14813,7,72
135,14854,7,42
136,14894,7,22
137,14968,7,90
138,15104,7,17
139,15112,7,14
140,15117,7,48
141,15124,7,3
142,15149,7,60
