,playerId,BattingOrder,PA
0,1744,3,18
1,2136,3,21
2,2396,3,258
3,2434,3,4
4,2967,3,211
5,3473,3,289
6,4314,3,1
7,4892,3,16
8,4940,3,17
9,4949,3,68
10,5038,3,5
11,5235,3,439
12,5254,3,24
13,5297,3,0
14,5452,3,11
15,5827,3,195
16,6153,3,5
17,6184,3,75
18,7304,3,313
19,7859,3,55
20,8418,3,1
21,8623,3,59
22,9218,3,150
23,9256,3,3
24,9777,3,133
25,9847,3,319
26,9874,3,4
27,9929,3,10
28,9952,3,13
29,10028,3,1
30,10047,3,16
31,10155,3,95
32,10199,3,0
33,10243,3,21
34,10264,3,128
35,10441,3,1
36,10472,3,4
37,10642,3,26
38,10950,3,14
39,11200,3,45
40,11265,3,3
41,11339,3,1
42,11342,3,22
43,11381,3,1
44,11445,3,17
45,11477,3,29
46,11489,3,1
47,11493,3,170
48,11579,3,372
49,11609,3,56
50,11615,3,184
51,11680,3,57
52,11737,3,171
53,11739,3,37
54,11899,3,83
55,12037,3,1
56,12144,3,62
57,12158,3,3
58,12161,3,16
59,12282,3,4
60,12399,3,5
61,12532,3,1
62,12546,3,26
63,12552,3,212
64,12564,3,17
65,12775,3,3
66,12856,3,3
67,12861,3,8
68,12916,3,296
69,12979,3,132
70,12984,3,2
71,13066,3,60
72,13145,3,106
73,13152,3,39
74,13301,3,63
75,13324,3,4
76,13355,3,1
77,13510,3,499
78,13590,3,4
79,13621,3,232
80,13675,3,4
81,13757,3,7
82,13768,3,2
83,13770,3,65
84,13836,3,10
85,13897,3,1
86,14111,3,4
87,14128,3,3
88,14161,3,157
89,14162,3,138
90,14196,3,6
91,14221,3,23
92,14274,3,42
93,14344,3,14
94,14350,3,4
95,14366,3,321
96,14387,3,152
97,14551,3,494
98,14712,3,3
99,14735,3,1
100,14813,3,9
101,14854,3,33
102,14894,3,2
103,15104,3,0
104,15112,3,354
105,15161,3,9
106,15194,3,5
107,15214,3,1
108,15223,3,1
109,15274,3,5
110,15279,3,73
111,15362,3,283
112,15429,3,142
113,15464,3,25
