,playerId,BattingOrder_vR,PA
0,1744,4,16
1,2136,4,25
2,2396,4,254
3,2434,4,8
4,2967,4,10
5,3473,4,66
6,4892,4,119
7,4940,4,10
8,4949,4,218
9,5038,4,19
10,5254,4,5
11,5297,4,8
12,5452,4,22
13,5517,4,4
14,5760,4,12
15,5827,4,17
16,6153,4,6
17,6184,4,125
18,7304,4,148
19,7739,4,53
20,8090,4,5
21,8202,4,1
22,8623,4,26
23,8709,4,0
24,9368,4,19
25,9627,4,1
26,9777,4,389
27,9874,4,107
28,10028,4,1
29,10243,4,30
30,10264,4,60
31,10324,4,13
32,10441,4,5
33,10472,4,1
34,10642,4,12
35,10762,4,16
36,10950,4,31
37,11200,4,59
38,11265,4,2
39,11281,4,5
40,11342,4,10
41,11368,4,3
42,11442,4,12
43,11445,4,47
44,11477,4,13
45,11493,4,252
46,11579,4,115
47,11609,4,52
48,11615,4,53
49,11680,4,177
50,11737,4,247
51,11739,4,21
52,11899,4,163
53,11902,4,1
54,12005,4,8
55,12037,4,2
56,12144,4,141
57,12161,4,180
58,12180,4,3
59,12282,4,2
60,12325,4,16
61,12532,4,1
62,12546,4,132
63,12552,4,67
64,12564,4,5
65,12856,4,54
66,12859,4,1
67,12861,4,116
68,12916,4,55
69,12976,4,1
70,12979,4,60
71,13066,4,234
72,13145,4,74
73,13152,4,11
74,13301,4,309
75,13419,4,495
76,13499,4,3
77,13590,4,23
78,13602,4,1
79,13620,4,0
80,13621,4,53
81,13675,4,0
82,13757,4,11
83,13768,4,2
84,13770,4,3
85,13836,4,1
86,13853,4,1
87,14111,4,10
88,14128,4,2
89,14161,4,76
90,14162,4,56
91,14196,4,2
92,14221,4,42
93,14274,4,18
94,14344,4,286
95,14350,4,1
96,14366,4,211
97,14387,4,41
98,14551,4,63
99,14566,4,6
100,14735,4,0
101,14773,4,3
102,14813,4,16
103,14854,4,9
104,14894,4,3
105,14968,4,1
106,15112,4,43
107,15117,4,0
108,15149,4,9
109,15161,4,44
110,15172,4,2
111,15194,4,17
112,15223,4,0
113,15271,4,2
114,15279,4,57
115,15362,4,10
116,15429,4,23
117,15464,4,89
118,15518,4,9
119,15585,4,13
120,15653,4,57
121,15672,4,4
122,15676,4,158
123,15679,4,147
124,15711,4,16
125,15730,4,6
126,15794,4,0
127,15878,4,8
128,15937,4,10
129,15983,4,0
130,15986,4,86
131,15998,4,262
132,16153,4,5
133,16219,4,100
134,16252,4,25
135,16337,4,8
136,16375,4,2
137,16376,4,149
138,16424,4,3
139,16442,4,211
140,16451,4,1
141,16478,4,3
142,16505,4,122
143,16512,4,1
144,16530,4,1
145,16535,4,3
146,16556,4,30
147,16572,4,45
148,16623,4,1
149,16680,4,2
150,16686,4,4
151,16997,4,62
152,17022,4,4
153,17027,4,22
154,17040,4,1
155,17128,4,106
156,17161,4,1
157,17232,4,79
158,17321,4,2
159,17338,4,2
160,17350,4,204
161,17484,4,345
162,17548,4,59
163,17678,4,142
164,17696,4,1
165,17710,4,1
166,17766,4,10
167,17838,4,12
168,17893,4,3
169,17901,4,0
170,17907,4,44
171,17919,4,76
172,17929,4,6
173,17932,4,2
174,17954,4,0
175,17988,4,106
176,17992,4,3
177,18015,4,7
178,18030,4,15
179,18036,4,3
180,18042,4,2
181,18067,4,1
182,18123,4,4
183,18126,4,3
184,18171,4,188
185,18289,4,12
186,18314,4,6
187,18316,4,1
188,18345,4,124
189,18360,4,27
190,18373,4,121
191,18395,4,11
192,18400,4,3
193,18568,4,20
194,18577,4,6
195,18607,4,14
196,18795,4,1
197,18819,4,5
198,18821,4,4
199,18839,4,246
200,18882,4,76
201,18900,4,1
202,19197,4,7
203,19198,4,33
204,19238,4,12
205,19251,4,414
206,19252,4,27
207,19260,4,110
208,19262,4,5
209,19273,4,17
210,19287,4,447
211,19290,4,217
212,19294,4,0
213,19339,4,4
214,19352,4,130
215,19354,4,47
216,19363,4,66
217,19452,4,11
218,19455,4,2
219,19514,4,2
220,19522,4,8
221,19556,4,15
222,19562,4,1
223,19566,4,3
224,19599,4,6
225,19600,4,63
226,19610,4,111
227,19611,4,138
228,19612,4,14
229,19627,4,100
230,19698,4,35
231,19709,4,20
232,19717,4,13
233,19779,4,0
234,19818,4,13
235,19828,4,3
236,19858,4,8
237,19864,4,1
238,19878,4,3
239,19890,4,2
240,19892,4,1
241,19901,4,27
242,19913,4,117
243,19918,4,94
244,19921,4,1
245,19928,4,1
246,19931,4,3
247,19950,4,9
248,19953,4,58
249,19956,4,12
250,20002,4,1
251,20036,4,76
252,20043,4,11
253,20123,4,30
254,20157,4,2
255,20178,4,1
256,20202,4,3
257,20220,4,3
258,20287,4,1
259,20308,4,2
260,20311,4,1
261,20321,4,6
262,20325,4,65
263,20391,4,8
264,20437,4,25
265,20454,4,154
266,20503,4,35
267,20529,4,28
268,20536,4,1
269,20538,4,24
270,20543,4,16
271,20599,4,1
272,20970,4,38
273,21078,4,1
274,21293,4,1
275,21454,4,8
276,21497,4,10
277,21501,4,57
278,21524,4,1
279,21534,4,154
280,21547,4,0
281,21558,4,3
282,21560,4,5
283,21562,4,0
284,21614,4,4
285,21618,4,73
286,21622,4,1
287,21635,4,42
288,21707,4,2
289,21746,4,1
290,21780,4,1
291,21840,4,7
292,21853,4,0
293,21897,4,3
294,21987,4,3
295,22054,4,1
296,22117,4,19
297,22168,4,2
298,22186,4,2
299,22197,4,169
300,22209,4,1
301,22217,4,7
302,22244,4,103
303,22261,4,2
304,22263,4,14
305,22266,4,3
306,22275,4,13
307,22277,4,0
308,22458,4,0
309,22514,4,67
310,22532,4,1
311,22542,4,3
312,22558,4,69
313,22563,4,3
314,22581,4,1
315,22650,4,6
316,22664,4,0
317,22715,4,14
318,22842,4,3
319,23003,4,15
320,23264,4,2
321,23312,4,4
322,23359,4,27
323,23401,4,0
324,23565,4,37
325,23667,4,39
326,23695,4,4
327,23697,4,4
328,23788,4,1
329,23818,4,1
330,23985,4,2
331,24336,4,0
332,24451,4,1
333,24589,4,1
334,24610,4,1
335,24617,4,7
336,24618,4,5
337,24655,4,47
338,24679,4,1
339,24729,4,38
340,24770,4,12
341,24782,4,6
342,24934,4,0
343,25111,4,1
344,25332,4,1
345,25505,4,1
346,25660,4,4
347,25764,4,31
348,25805,4,8
349,25813,4,2
350,25816,4,23
351,25867,4,1
352,25961,4,227
353,26121,4,2
354,26151,4,3
355,26197,4,65
356,26289,4,16
357,26299,4,45
358,26323,4,103
359,26365,4,0
360,26368,4,32
361,26396,4,0
362,26420,4,1
363,26438,4,8
364,26466,4,7
365,26467,4,2
366,26477,4,8
367,26517,4,0
368,26668,4,135
369,27465,4,142
370,27467,4,2
371,27475,4,19
372,27478,4,20
373,27534,4,7
374,27562,4,36
375,27577,4,1
376,27615,4,16
377,27676,4,19
378,27684,4,23
379,27690,4,3
380,27815,4,1
381,29591,4,4
382,29617,4,19
383,29622,4,100
384,29715,4,1
385,30011,4,36
386,30116,4,142
387,31837,4,156
