,playerId,BattingOrder,PA
0,2136,9,13
1,2396,9,1
2,2434,9,6
3,2829,9,2
4,2900,9,17
5,2967,9,2
6,3516,9,1
7,4314,9,1
8,4892,9,16
9,4940,9,16
10,4949,9,1
11,5038,9,1
12,5254,9,4
13,5273,9,35
14,5297,9,55
15,5343,9,82
16,5417,9,1
17,5452,9,1
18,5486,9,1
19,5517,9,101
20,5760,9,3
21,5827,9,7
22,5933,9,3
23,6153,9,29
24,6887,9,404
25,7739,9,1
26,7802,9,236
27,7859,9,3
28,8090,9,4
29,8202,9,33
30,8418,9,5
31,8623,9,12
32,8709,9,146
33,9241,9,0
34,9256,9,7
35,9368,9,3
36,9627,9,58
37,9774,9,82
38,9847,9,2
39,9874,9,3
40,9929,9,1
41,9952,9,16
42,10028,9,151
43,10030,9,4
44,10200,9,119
45,10243,9,39
46,10264,9,2
47,10323,9,45
48,10441,9,7
49,10472,9,64
50,10642,9,5
51,10681,9,2
52,10815,9,4
53,10950,9,1
54,11038,9,333
55,11200,9,2
56,11265,9,14
57,11339,9,73
58,11368,9,18
59,11442,9,9
60,11445,9,32
61,11477,9,1
62,11481,9,1
63,11489,9,312
64,11579,9,1
65,11609,9,2
66,11680,9,13
67,11739,9,3
68,11899,9,6
69,11902,9,14
70,12005,9,2
71,12037,9,112
72,12140,9,3
73,12144,9,10
74,12155,9,4
75,12158,9,191
76,12160,9,4
77,12180,9,2
78,12282,9,3
79,12325,9,4
80,12399,9,19
81,12434,9,42
82,12510,9,80
83,12532,9,141
84,12546,9,2
85,12564,9,0
86,12856,9,1
87,12859,9,54
88,12927,9,1
89,12976,9,202
90,12977,9,7
91,12979,9,1
92,12981,9,141
93,12984,9,64
94,13145,9,1
95,13185,9,70
96,13265,9,3
97,13324,9,17
98,13329,9,2
99,13338,9,62
100,13355,9,177
101,13359,9,1
102,13419,9,1
103,13499,9,8
104,13590,9,6
105,13602,9,28
106,13620,9,58
107,13675,9,98
108,13723,9,74
109,13744,9,5
110,13755,9,56
111,13757,9,39
112,13768,9,33
113,13770,9,8
114,13788,9,1
115,13836,9,32
116,13853,9,61
117,13854,9,12
118,13897,9,40
119,14111,9,87
120,14128,9,32
121,14130,9,12
122,14161,9,1
123,14196,9,74
124,14221,9,2
125,14350,9,20
126,14387,9,7
127,14477,9,62
128,14551,9,1
129,14567,9,7
130,14691,9,27
131,14712,9,35
132,14735,9,28
133,14773,9,97
134,14811,9,1
135,14813,9,28
136,14854,9,11
137,14894,9,46
138,14950,9,5
139,14968,9,3
140,15082,9,6
141,15104,9,68
142,15117,9,3
143,15124,9,55
144,15149,9,5
145,15161,9,3
146,15194,9,8
147,15214,9,12
148,15223,9,55
149,15271,9,92
150,15274,9,20
151,15279,9,1
152,15362,9,2
153,15464,9,1
154,15491,9,90
155,15518,9,16
156,15585,9,3
157,15640,9,1
158,15654,9,4
159,15672,9,2
160,15674,9,70
161,15679,9,5
162,15711,9,3
163,15730,9,16
164,15878,9,5
165,15905,9,14
166,15937,9,17
167,15941,9,71
168,16153,9,10
169,16219,9,3
170,16337,9,16
171,16357,9,59
172,16375,9,21
173,16376,9,1
174,16403,9,105
175,16424,9,5
176,16426,9,23
177,16434,9,6
178,16442,9,25
179,16451,9,50
180,16496,9,9
181,16512,9,22
182,16530,9,21
183,16535,9,3
184,16572,9,7
185,16578,9,1
186,16622,9,49
187,16623,9,13
188,16680,9,15
189,16725,9,38
190,16930,9,2
191,16939,9,5
192,16947,9,19
193,16953,9,16
194,17022,9,114
195,17040,9,92
196,17109,9,2
197,17128,9,1
198,17161,9,37
199,17232,9,1
200,17273,9,206
201,17321,9,14
